,Unnamed: 0,arr_airport,arr_city,dept_airport,dept_city,duration_hrs,duration_mins,layover_hrs,layover_mins,leg_id,price,stops,total_hrs,total_mins,total_mins_final,total_time_mins,timestamp
12,12,SYD,Sydney,SFO,San Francisco,15,30,"[15, 1]","[30, 25]",972f5a67f7725b0eb902a57df50dea3b,933.0,1,16,55,960,1015,1559791859.079683
13,13,SFO,San Francisco,SYD,Sydney,3,5,"[3, 12]","[5, 15]",9359c2aa54946732a72fd3fcddd6d14c,1301.0,1,15,20,900,920,1559791859.079683
14,14,SYD,Sydney,SFO,San Francisco,1,34,"[1, 13, 1]","[34, 45, 35]",498aa2a9d9fc07497e256e55d9780695,944.0,2,15,114,900,1014,1559791859.079683
15,15,SYD,Sydney,SFO,San Francisco,15,30,"[15, 1]","[30, 25]",b47d670d368d53080fafedf047106c82,962.0,1,16,55,960,1015,1559791859.079683
16,16,SYD,Sydney,SFO,San Francisco,12,40,"[12, 9]","[40, 15]",5a0065bd437d806de81cc96b9638bfb9,1075.0,1,21,55,1260,1315,1559791859.079683
17,17,SYD,Sydney,SFO,San Francisco,11,10,"[11, 4]","[10, 55]",202dfd66ecae265c291e8521f8eb897b,1312.0,1,15,65,900,965,1559791859.079683
18,18,SFO,San Francisco,SYD,Sydney,15,50,"[15, 4]","[50, 11]",8c13a7c15a2d99f6205183088c4f05ca,860.0,1,19,61,1140,1201,1559791859.079683
19,19,SYD,Sydney,SFO,San Francisco,1,37,"[1, 14]","[37, 45]",752add69ebe916c89f1f6594be823392,942.0,1,15,82,900,982,1559791859.079683
20,20,SYD,Sydney,SFO,San Francisco,1,32,"[1, 15]","[32, 0]",82412902f205c977ce442c1abec31303,944.0,1,16,32,960,992,1559791859.079683
21,21,SYD,Sydney,SFO,San Francisco,1,38,"[1, 14]","[38, 45]",34aede9058792cc1ce65141cbbfe7f22,942.0,1,15,83,900,983,1559791859.079683
22,22,SYD,Sydney,SFO,San Francisco,15,30,"[15, 1]","[30, 25]",af6d10b1d71ff9aad3189f3cc8db8eaf,962.0,1,16,55,960,1015,1559791859.079683
23,23,SYD,Sydney,SFO,San Francisco,1,36,"[1, 15]","[36, 5]",7504590cc47114144218ad6f51df862a,860.0,1,16,41,960,1001,1559791859.079683
24,24,SFO,San Francisco,SYD,Sydney,13,40,"[13, 1]","[40, 21]",0fdbb4b38f74785a1bc95d32a4869279,857.0,1,14,61,840,901,1559791859.079683
25,25,SYD,Sydney,SFO,San Francisco,1,32,"[1, 15]","[32, 5]",b4075092397d983ab98739bb54a8aaf0,860.0,1,16,37,960,997,1559791859.079683
26,26,SYD,Sydney,SFO,San Francisco,3,40,"[3, 17]","[40, 0]",115b6c2b61d15e0ed9a816acfed66a84,936.0,1,20,40,1200,1240,1559791859.079683
27,27,SYD,Sydney,SFO,San Francisco,1,34,"[1, 15, 1]","[34, 50, 25]",85481c9c795884d20107ee72f1c91f9a,937.0,2,17,109,1020,1129,1559791859.079683
28,28,SFO,San Francisco,SYD,Sydney,15,50,"[15, 4]","[50, 2]",44dee49370c580d46a468a2d97f4af53,824.0,1,19,52,1140,1192,1559791859.079683
29,29,SYD,Sydney,SFO,San Francisco,1,37,"[1, 15]","[37, 5]",dcd2886914066b46fc0016ceca1bbe28,857.0,1,16,42,960,1002,1559791859.079683
30,30,SYD,Sydney,SFO,San Francisco,1,37,"[1, 15]","[37, 5]",e6b5bd1966c7aff61b933879e9f49d7d,942.0,1,16,42,960,1002,1559791859.079683
31,31,SFO,San Francisco,SYD,Sydney,13,50,"[13, 1]","[50, 31]",75c318a0f2e8fb2783a026b5fe30960a,949.0,1,14,81,840,921,1559791859.079683
32,32,SYD,Sydney,SFO,San Francisco,15,30,"[15, 1]","[30, 25]",d6b7c4c365bef447e3cab79da3111ffb,933.0,1,16,55,960,1015,1559791859.079683
33,33,SYD,Sydney,SFO,San Francisco,15,30,"[15, 1]","[30, 25]",ee2b1e4dc174823c625e98d5d651216e,933.0,1,16,55,960,1015,1559791859.079683
34,34,SYD,Sydney,SFO,San Francisco,1,34,"[1, 15]","[34, 5]",0c7344d4c3544765a33a10e94c8f4048,857.0,1,16,39,960,999,1559791859.079683
35,35,SYD,Sydney,SFO,San Francisco,1,40,"[1, 15]","[40, 0]",cd0febca1bcfade1908eea94174902b5,944.0,1,16,40,960,1000,1559791859.079683
36,36,SYD,Sydney,SFO,San Francisco,1,45,"[1, 15]","[45, 5]",2a1e8003cf1cc354db6a80036cc918c8,857.0,1,16,50,960,1010,1559791859.079683
37,37,SYD,Sydney,SFO,San Francisco,1,38,"[1, 15]","[38, 5]",fc055c326ea6d026757fe1777d9de224,860.0,1,16,43,960,1003,1559791859.079683
38,38,SYD,Sydney,SFO,San Francisco,3,39,"[3, 17]","[39, 0]",c879cbfa30da9c53bdbb3586d0416370,936.0,1,20,39,1200,1239,1559791859.079683
39,39,SFO,San Francisco,SYD,Sydney,13,20,[13],[20],39e839e30f5bb7c8b74ab8420e715c13,932.0,0,13,20,780,800,1559791859.079683
40,40,SYD,Sydney,SFO,San Francisco,1,44,"[1, 15]","[44, 5]",f9e1f59029a4598971ab87cc6f8391b0,857.0,1,16,49,960,1009,1559791859.079683
41,41,SYD,Sydney,SFO,San Francisco,3,47,"[3, 17]","[47, 15]",101ecc916fd6211890657bc4601baa30,824.0,1,20,62,1200,1262,1559791859.079683
42,42,SYD,Sydney,SFO,San Francisco,1,42,"[1, 15]","[42, 5]",e67d694bf80747f6d647742e9cccfaee,862.0,1,16,47,960,1007,1559791859.079683
43,43,SYD,Sydney,SFO,San Francisco,1,45,"[1, 15]","[45, 0]",fb81c1a45d527c57010ade12283f0ec8,936.0,1,16,45,960,1005,1559791859.079683
44,44,SYD,Sydney,SFO,San Francisco,3,42,"[3, 17]","[42, 0]",ddd23a106e7d7783ff930d9c2b12a0b8,944.0,1,20,42,1200,1242,1559791859.079683
45,45,SFO,San Francisco,SYD,Sydney,8,20,"[8, 13]","[20, 5]",082d9c15800adb3228d5d5263920ad90,1182.0,1,21,25,1260,1285,1559791859.079683
46,46,SFO,San Francisco,SYD,Sydney,15,50,"[15, 4]","[50, 8]",7fd5ff90aebc6a681d84f2c881b459f8,824.0,1,19,58,1140,1198,1559791859.079683
47,47,SYD,Sydney,SFO,San Francisco,15,30,"[15, 1]","[30, 25]",a2f6e5f34a7323dd4d70eca74a321dbb,933.0,1,16,55,960,1015,1559791859.079683
48,48,SYD,Sydney,SFO,San Francisco,1,37,"[1, 14]","[37, 45]",42b2417f1dd762a0a3eb1677896966c4,942.0,1,15,82,900,982,1559791859.079683
49,49,SYD,Sydney,SFO,San Francisco,15,30,"[15, 1]","[30, 25]",2a856f3205ed908b101109193ecc178a,962.0,1,16,55,960,1015,1559791859.079683
50,50,SYD,Sydney,SFO,San Francisco,1,34,"[1, 15]","[34, 5]",6999186b2eb957a1a38316cdf156b54d,860.0,1,16,39,960,999,1559791859.079683
51,51,SFO,San Francisco,SYD,Sydney,13,50,"[13, 1]","[50, 29]",76797534f8030b437f0a807ccb90ae1e,942.0,1,14,79,840,919,1559791859.079683
52,52,SYD,Sydney,SFO,San Francisco,14,40,[14],[40],29a768f07fae0ae91224877457ed5637,932.0,0,14,40,840,880,1559791859.079683
53,53,SYD,Sydney,SFO,San Francisco,3,41,"[3, 17]","[41, 0]",039aeca262460cae33683aa505b4f10f,936.0,1,20,41,1200,1241,1559791859.079683
54,54,SYD,Sydney,SFO,San Francisco,1,37,"[1, 15]","[37, 0]",3d56d013d5a0c769068f253fe59165c5,936.0,1,16,37,960,997,1559791859.079683
55,55,SYD,Sydney,SFO,San Francisco,1,34,"[1, 15]","[34, 0]",0025d832abc6e22efd424be958cc5f38,944.0,1,16,34,960,994,1559791859.079683
56,56,SFO,San Francisco,SYD,Sydney,13,50,"[13, 1]","[50, 18]",fccedf57a1e52a2c5361bd744145be4a,949.0,1,14,68,840,908,1559791859.079683
57,57,SYD,Sydney,SFO,San Francisco,15,30,"[15, 1]","[30, 25]",72204c9b6388046a9d82f7c369901f23,962.0,1,16,55,960,1015,1559791859.079683
58,58,SYD,Sydney,SFO,San Francisco,15,30,"[15, 1]","[30, 25]",66717bd8a45ec1bebc94369cfaa0a383,933.0,1,16,55,960,1015,1559791859.079683
59,59,SFO,San Francisco,SYD,Sydney,13,50,"[13, 1]","[50, 31]",736482a8d9c3f8ae5b15958649eaeb7f,942.0,1,14,81,840,921,1559791859.079683
60,60,SYD,Sydney,SFO,San Francisco,1,37,"[1, 14]","[37, 45]",773178a244089224610b8f301a59d732,949.0,1,15,82,900,982,1559791859.079683
61,61,SYD,Sydney,SFO,San Francisco,1,37,"[1, 15]","[37, 5]",44dfe2c9e97a9661cc5c25b5622eeb9a,949.0,1,16,42,960,1002,1559791859.079683
62,62,SYD,Sydney,SFO,San Francisco,3,44,"[3, 17]","[44, 0]",c7fb14b120cafa7a1991f1897eded2f2,944.0,1,20,44,1200,1244,1559791859.079683
63,63,SYD,Sydney,SFO,San Francisco,15,30,"[15, 1]","[30, 25]",974490a2d93cf92d665d75a3e140ccfe,933.0,1,16,55,960,1015,1559791859.079683
64,64,SYD,Sydney,SFO,San Francisco,15,30,"[15, 1]","[30, 25]",483e5a259e38259ea53231ca16c75823,933.0,1,16,55,960,1015,1559791859.079683
65,65,SYD,Sydney,SFO,San Francisco,15,30,"[15, 1]","[30, 25]",00ddaf57baff961f1440d58280a6e0b9,933.0,1,16,55,960,1015,1559791859.079683
66,66,SYD,Sydney,SFO,San Francisco,1,37,"[1, 14]","[37, 45]",a6e578a53ff84521a2b23306af933b9b,942.0,1,15,82,900,982,1559791859.079683
67,67,SYD,Sydney,SFO,San Francisco,15,30,"[15, 1]","[30, 25]",e271e6d569fa3ff2738e7729cb230adb,962.0,1,16,55,960,1015,1559791859.079683
68,68,SYD,Sydney,SFO,San Francisco,1,34,"[1, 15]","[34, 0]",2cd63c7e610a216f53811af911927056,936.0,1,16,34,960,994,1559791859.079683
69,69,SYD,Sydney,SFO,San Francisco,1,37,"[1, 14]","[37, 45]",ec047e184e8a202ae10be70756e59d3e,942.0,1,15,82,900,982,1559791859.079683
70,70,SYD,Sydney,SFO,San Francisco,15,30,"[15, 1]","[30, 25]",cc7a5307f47af806bf84aae6afbaec9d,933.0,1,16,55,960,1015,1559791859.079683
71,71,SYD,Sydney,SFO,San Francisco,1,40,"[1, 15]","[40, 0]",93f5527ca54c19e6b821b7ee421ab446,944.0,1,16,40,960,1000,1559791859.079683
72,72,SYD,Sydney,SFO,San Francisco,3,41,"[3, 17]","[41, 0]",bc411f1e4c23ba080ed59514d9de4e2f,936.0,1,20,41,1200,1241,1559791859.079683
73,73,SYD,Sydney,SFO,San Francisco,15,30,"[15, 1]","[30, 25]",c03f6307d03fa0eb04c23b40dcf6f960,933.0,1,16,55,960,1015,1559791859.079683
74,74,SYD,Sydney,SFO,San Francisco,15,30,"[15, 1]","[30, 25]",2d5ded874c30290cfe05ffcb9260874f,933.0,1,16,55,960,1015,1559791859.079683
75,75,SYD,Sydney,SFO,San Francisco,1,34,"[1, 13, 1]","[34, 45, 35]",2eaa952874f235db86652c899f1cb6d2,944.0,2,15,114,900,1014,1559791859.079683
76,76,SYD,Sydney,SFO,San Francisco,15,30,"[15, 1]","[30, 25]",22d1ce75a7e9a038e85cea5ea5bd6867,933.0,1,16,55,960,1015,1559791859.079683
77,77,SYD,Sydney,SFO,San Francisco,14,55,[14],[55],4987a5b186ee69b1debfabf0b8e1b237,855.0,0,14,55,840,895,1559791859.079683
78,78,SYD,Sydney,SFO,San Francisco,1,38,"[1, 15]","[38, 5]",2e493dfa8d25b374a6f1314fe4b7e58d,942.0,1,16,43,960,1003,1559791859.079683
79,79,SYD,Sydney,SFO,San Francisco,15,30,"[15, 1]","[30, 25]",fda5ca57182b4e6aefd501d43aa8e56c,933.0,1,16,55,960,1015,1559791859.079683
80,80,SYD,Sydney,SFO,San Francisco,1,37,"[1, 15]","[37, 5]",eee7303574d85f1264be9f13aed8bb7c,942.0,1,16,42,960,1002,1559791859.079683
81,81,SYD,Sydney,SFO,San Francisco,1,37,"[1, 14]","[37, 45]",a0711b733a2c2be13a2decb0fae74e7c,949.0,1,15,82,900,982,1559791859.079683
82,82,SYD,Sydney,SFO,San Francisco,1,37,"[1, 15]","[37, 5]",b0713b5fbc7cc4eabd26ee58cb7d51da,942.0,1,16,42,960,1002,1559791859.079683
83,83,SYD,Sydney,SFO,San Francisco,1,34,"[1, 15]","[34, 0]",856ccc9cb4f3b29afac718c3e3fffdd2,944.0,1,16,34,960,994,1559791859.079683
84,84,SYD,Sydney,SFO,San Francisco,1,34,"[1, 15]","[34, 5]",7d5ab1e215914c99c969c09c9bb4ed69,860.0,1,16,39,960,999,1559791859.079683
85,85,SYD,Sydney,SFO,San Francisco,1,37,"[1, 15]","[37, 5]",04839731ddeab879a9315ed58b36b871,942.0,1,16,42,960,1002,1559791859.079683
86,86,SFO,San Francisco,SYD,Sydney,13,50,"[13, 1]","[50, 31]",55b496530b57e10e8c3d7e16d42f78f6,942.0,1,14,81,840,921,1559791859.079683
87,87,SYD,Sydney,SFO,San Francisco,3,40,"[3, 17]","[40, 0]",6d599042de18d90bf3860f7643c27e20,944.0,1,20,40,1200,1240,1559791859.079683
88,88,SYD,Sydney,SFO,San Francisco,1,37,"[1, 15]","[37, 5]",f0cf3fa99e53a5d44321b8b00b1b6fc6,949.0,1,16,42,960,1002,1559791859.079683
89,89,SYD,Sydney,SFO,San Francisco,1,40,"[1, 15]","[40, 5]",c290a020113e30c77aa4fd4705da5845,862.0,1,16,45,960,1005,1559791859.079683
90,90,SYD,Sydney,SFO,San Francisco,1,38,"[1, 15]","[38, 5]",f37231d519d9e36ca7295a606df8e2c8,942.0,1,16,43,960,1003,1559791859.079683
91,91,SYD,Sydney,SFO,San Francisco,3,44,"[3, 17]","[44, 0]",201bd3b7b977a24d384cc6b69ea5094c,936.0,1,20,44,1200,1244,1559791859.079683
92,92,SYD,Sydney,SFO,San Francisco,14,40,[14],[40],e75d2c1b04516e7479dc89d2bc107e0e,1942.0,0,14,40,840,880,1559791859.079683
93,93,SYD,Sydney,SFO,San Francisco,1,42,"[1, 15]","[42, 5]",1720ec97a9dc6904d73a4dc2d8d15a7d,860.0,1,16,47,960,1007,1559791859.079683
0,0,FCO,Rome,SFO,San Francisco,5,35,"[5, 8]","[35, 10]",89466ec184c3899ab4fef5a00de1a314,1244.0,1,13,45,780,825,1559792016.054073
1,1,SFO,San Francisco,FCO,Rome,1,55,"[1, 11]","[55, 35]",a22453b30ada4e87975d095e796ee431,1320.0,1,12,90,720,810,1559792016.054073
2,2,FCO,Rome,SFO,San Francisco,4,29,"[4, 8]","[29, 55]",adf4edfccbc7394ffcfc203fedd57cdd,2079.0,1,12,84,720,804,1559792016.054073
3,3,SFO,San Francisco,FCO,Rome,10,25,"[10, 4]","[25, 38]",be45f7b9c37b1efeb65a16c6dd0f31c0,2079.0,1,14,63,840,903,1559792016.054073
4,4,FCO,Rome,SFO,San Francisco,4,36,"[4, 9]","[36, 39]",5bef20a4555e6adc26376eeb52e22e3b,12767.0,1,13,75,780,855,1559792016.054073
5,5,FCO,Rome,SFO,San Francisco,4,15,"[4, 9]","[15, 30]",acf2c3369a506961f122cdebada602b4,1261.0,1,13,45,780,825,1559792016.054073
6,6,FCO,Rome,SFO,San Francisco,5,0,"[5, 8]","[0, 15]",0d78cec14768b8f31817a736acc07f4e,1260.0,1,13,15,780,795,1559792016.054073
7,7,SFO,San Francisco,FCO,Rome,1,40,"[1, 11]","[40, 50]",420c0be4878164261ecaf337144ecd12,7100.0,1,12,90,720,810,1559792016.054073
8,8,FCO,Rome,SFO,San Francisco,10,20,"[10, 2]","[20, 10]",38b7a9f393191670af213ef82d066f98,1275.0,1,12,30,720,750,1559792016.054073
9,9,FCO,Rome,SFO,San Francisco,4,56,"[4, 8]","[56, 15]",89f81206aeb936aeca0e14a776657324,3834.0,1,12,71,720,791,1559792016.054073
10,10,FCO,Rome,SFO,San Francisco,10,15,"[10, 3]","[15, 10]",3986cd2acafd652a7702706f8c173dd7,1505.0,1,13,25,780,805,1559792016.054073
11,11,FCO,Rome,SFO,San Francisco,4,29,"[4, 8]","[29, 55]",d447a14108efb15dbade04558bc070d4,3941.0,1,12,84,720,804,1559792016.054073
12,12,SFO,San Francisco,FCO,Rome,2,35,"[2, 11]","[35, 20]",9843ab22fc64535049b751ae8fd1ba32,981.0,1,13,55,780,835,1559792016.054073
13,13,FCO,Rome,SFO,San Francisco,11,5,"[11, 1]","[5, 50]",c7bac3eb73f15f08635319a471698bf7,1274.0,1,12,55,720,775,1559792016.054073
14,14,FCO,Rome,SFO,San Francisco,4,29,"[4, 8, 2]","[29, 10, 30]",651fc2bd6eae3df92140504f3b7ce436,3956.0,2,14,69,840,909,1559792016.054073
15,15,FCO,Rome,SFO,San Francisco,10,50,"[10, 1]","[50, 50]",129b2a60487cdc12c2d12650d01328d3,1320.0,1,11,100,660,760,1559792016.054073
16,16,FCO,Rome,SFO,San Francisco,10,45,"[10, 2]","[45, 5]",22e07cab6549f0ab5b01578343fbd8a2,12780.0,1,12,50,720,770,1559792016.054073
17,17,FCO,Rome,SFO,San Francisco,3,41,"[3, 10]","[41, 20]",0cf42ba335a5b9a4e6090cbf1537b646,2139.0,1,13,61,780,841,1559792016.054073
18,18,FCO,Rome,SFO,San Francisco,10,25,"[10, 2]","[25, 35]",540ebadde916835fb9f88d64377da35d,2158.0,1,12,60,720,780,1559792016.054073
19,19,FCO,Rome,SFO,San Francisco,4,35,"[4, 9]","[35, 39]",ccd92d94892491948b8381b8f8c2eecb,1761.0,1,13,74,780,854,1559792016.054073
20,20,FCO,Rome,SFO,San Francisco,10,40,"[10, 2]","[40, 30]",542cce51d67b2dbe95685984beef4870,3356.0,1,12,70,720,790,1559792016.054073
21,21,FCO,Rome,SFO,San Francisco,1,32,"[1, 12]","[32, 0]",65b8a6e73d2416a40c77a9a2977360e7,1752.0,1,13,32,780,812,1559792016.054073
22,22,FCO,Rome,SFO,San Francisco,4,29,"[4, 8]","[29, 55]",de716e55c2d5da9263ebfc893226e997,2049.0,1,12,84,720,804,1559792016.054073
23,23,FCO,Rome,SFO,San Francisco,4,50,"[4, 8]","[50, 40]",ca64e247dbb10bf4879df80aab4f55f8,1244.0,1,12,90,720,810,1559792016.054073
24,24,SFO,San Francisco,FCO,Rome,3,10,"[3, 11]","[10, 0]",00d1898625e872e8c67e31a7d85efe49,1505.0,1,14,10,840,850,1559792016.054073
25,25,FCO,Rome,SFO,San Francisco,10,50,"[10, 1]","[50, 50]",68a9a541f34ec48093b4f4d6b9a629f4,1291.0,1,11,100,660,760,1559792016.054073
26,26,SFO,San Francisco,FCO,Rome,2,25,"[2, 10]","[25, 55]",8a284fce512559fd7ba6abf9b24720a9,1485.0,1,12,80,720,800,1559792016.054073
27,27,FCO,Rome,SFO,San Francisco,11,5,"[11, 1]","[5, 50]",51cc56ecc8e245cfd6cba1cbf3b3a1e3,1291.0,1,12,55,720,775,1559792016.054073
28,28,SFO,San Francisco,FCO,Rome,2,10,"[2, 11]","[10, 25]",e83cc725fa6efe07aec290a5b08610ee,1583.0,1,13,35,780,815,1559792016.054073
29,29,FCO,Rome,SFO,San Francisco,4,40,"[4, 9]","[40, 42]",cfcef5c67f0c092e62fe352f45edad82,12767.0,1,13,82,780,862,1559792016.054073
30,30,FCO,Rome,SFO,San Francisco,10,50,"[10, 1]","[50, 50]",c09e4e285e3d4bb732774223c1d47d5d,1274.0,1,11,100,660,760,1559792016.054073
31,31,FCO,Rome,SFO,San Francisco,4,40,"[4, 9]","[40, 42]",8fabc9b89962ce8aeb15c67791586fc1,1869.0,1,13,82,780,862,1559792016.054073
32,32,FCO,Rome,SFO,San Francisco,4,36,"[4, 9]","[36, 39]",a02d7b4fed04300758b33da46797cbee,1244.0,1,13,75,780,855,1559792016.054073
33,33,FCO,Rome,SFO,San Francisco,4,29,"[4, 8]","[29, 55]",65ee8cad8b9f883fc1ec9711c40d91cc,1556.0,1,12,84,720,804,1559792016.054073
34,34,FCO,Rome,SFO,San Francisco,11,5,"[11, 1]","[5, 50]",499f22b703ea0780dbe7ab48f0fa72a2,1320.0,1,12,55,720,775,1559792016.054073
35,35,FCO,Rome,SFO,San Francisco,5,28,"[5, 7]","[28, 45]",83ce75d0848779e33c6669a38e1b6676,1239.0,1,12,73,720,793,1559792016.054073
36,36,FCO,Rome,SFO,San Francisco,10,40,"[10, 3]","[40, 25]",894d371f5769b2f0e78d0d2c7c7540ad,1245.0,1,13,65,780,845,1559792016.054073
37,37,FCO,Rome,SFO,San Francisco,11,10,"[11, 2]","[10, 55]",655d0122ae714c14fada16725388ba13,1481.0,1,13,65,780,845,1559792016.054073
38,38,FCO,Rome,SFO,San Francisco,4,36,"[4, 8, 2]","[36, 30, 10]",dc4341033be017b74fe7f434b3d28056,1485.0,2,14,76,840,916,1559792016.054073
39,39,FCO,Rome,SFO,San Francisco,4,56,"[4, 8]","[56, 15]",87bf687f1c71c7e716cb3ace9e595304,1390.0,1,12,71,720,791,1559792016.054073
40,40,FCO,Rome,SFO,San Francisco,11,55,"[11, 1]","[55, 20]",4f8aed2df793c9c2e1a72d6c73ce208e,1306.0,1,12,75,720,795,1559792016.054073
41,41,FCO,Rome,SFO,San Francisco,13,0,"[13, 2]","[0, 40]",17c86319ee4c70d717ab25f07d58b226,1253.0,1,15,40,900,940,1559792016.054073
42,42,FCO,Rome,SFO,San Francisco,5,33,"[5, 7, 2]","[33, 10, 30]",48bea28da1fc6118d6e615edd067ab3c,1267.0,2,14,73,840,913,1559792016.054073
43,43,FCO,Rome,SFO,San Francisco,3,44,"[3, 8, 2]","[44, 15, 5]",a4f446f19c7128ef386a6b60ffff906d,3963.0,2,13,64,780,844,1559792016.054073
44,44,FCO,Rome,SFO,San Francisco,4,35,"[4, 9]","[35, 39]",67832ab537839b99b293f45fa31b8350,12767.0,1,13,74,780,854,1559792016.054073
45,45,FCO,Rome,SFO,San Francisco,1,31,"[1, 10, 2]","[31, 25, 10]",127b7430886e7ac03850618f8807e8e8,2176.0,2,13,66,780,846,1559792016.054073
46,46,FCO,Rome,SFO,San Francisco,4,29,"[4, 8]","[29, 55]",ea2ddd941d0a2d6e27a46cc5538e88c6,7100.0,1,12,84,720,804,1559792016.054073
47,47,SFO,San Francisco,FCO,Rome,1,50,"[1, 12]","[50, 50]",643f42a2b87cf2632793772f76e3f165,1239.0,1,13,100,780,880,1559792016.054073
48,48,FCO,Rome,SFO,San Francisco,4,15,"[4, 9]","[15, 30]",7e51ab079092f3600b7f7187733790a7,1628.0,1,13,45,780,825,1559792016.054073
49,49,SFO,San Francisco,FCO,Rome,12,5,"[12, 3]","[5, 44]",2ae5661e40f5922a4f255a83fce83795,2049.0,1,15,49,900,949,1559792016.054073
50,50,FCO,Rome,SFO,San Francisco,10,50,"[10, 1, 1]","[50, 25, 40]",2122690eb481360acdada0462b805860,1382.0,2,12,115,720,835,1559792016.054073
51,51,FCO,Rome,SFO,San Francisco,10,40,"[10, 2]","[40, 30]",87a16a8a462a870e69f9f0b6ce696e64,981.0,1,12,70,720,790,1559792016.054073
52,52,FCO,Rome,SFO,San Francisco,10,50,"[10, 1]","[50, 35]",bbc73e4cee4fac7ab1f734dde8d70e7a,1273.0,1,11,85,660,745,1559792016.054073
53,53,FCO,Rome,SFO,San Francisco,10,45,"[10, 2]","[45, 5]",229ffce33220220b538b5ca715ce4ed0,1583.0,1,12,50,720,770,1559792016.054073
0,0,SFO,San Francisco,CUZ,Cusco,1,30,"[1, 4, 6]","[30, 24, 5]",83947e7f406141824116c18a1770dcc7,1006.0,2,11,59,660,719,1559792127.0679526
1,1,SFO,San Francisco,CUZ,Cusco,1,30,"[1, 3, 7]","[30, 45, 35]",96dbd8a6c7a0cbcc7a4798ecfb8d65b9,1088.0,2,11,110,660,770,1559792127.0679526
2,2,CUZ,Cusco,SFO,San Francisco,1,32,"[1, 8, 1]","[32, 20, 27]",beab05ff2e8d343b7a34898495a03a3f,0.0,2,10,79,600,679,1559792127.0679526
3,3,SFO,San Francisco,CUZ,Cusco,1,30,"[1, 4, 6]","[30, 24, 5]",aab4fc07db2fec6eadfb2c9029954b18,746.0,2,11,59,660,719,1559792127.0679526
4,4,CUZ,Cusco,SFO,San Francisco,1,32,"[1, 8, 1]","[32, 20, 27]",5d9ac5974c766b2a9eaf38721f9db358,4931.0,2,10,79,600,679,1559792127.0679526
5,5,CUZ,Cusco,SFO,San Francisco,3,59,"[3, 6, 1]","[59, 30, 20]",27b0f7069461a1dc9364bc64fa143ea8,924.0,2,10,109,600,709,1559792127.0679526
6,6,CUZ,Cusco,SFO,San Francisco,3,46,"[3, 7, 1]","[46, 3, 27]",8016bbe336e3d5addbeb445eb64cf077,1021.0,2,11,76,660,736,1559792127.0679526
7,7,CUZ,Cusco,SFO,San Francisco,3,44,"[3, 7, 1]","[44, 3, 27]",e90fe06beb2ee87c528423ca3a98a062,887.0,2,11,74,660,734,1559792127.0679526
8,8,SFO,San Francisco,CUZ,Cusco,1,30,"[1, 6, 4]","[30, 35, 15]",7d19f0424089a0773a36c34af8af51d6,4931.0,2,11,80,660,740,1559792127.0679526
9,9,CUZ,Cusco,SFO,San Francisco,5,38,"[5, 4, 1]","[38, 20, 20]",7f1e94dee3cea71e0c5c5dd3a1983572,746.0,2,10,78,600,678,1559792127.0679526
